frame_index,timestamp_sec,rhino_id,min_person_distance_px,distance_to_road_px,risk_level
126,4.2,2,349.7892222467696,254.5,LOW
126,4.2,3,251.65700864470276,244.0,LOW
127,4.23,1,,263.5,LOW
127,4.23,2,,254.5,LOW
127,4.23,3,,242.0,LOW
128,4.27,1,434.842787683089,265.5,LOW
128,4.27,2,345.9277381188158,254.5,LOW
128,4.27,3,250.40017971239558,240.0,LOW
129,4.3,1,433.49106103817184,266.5,LOW
129,4.3,2,346.416295806072,254.5,LOW
129,4.3,3,249.8259394058191,237.0,LOW
130,4.33,1,433.79171269170183,267.5,LOW
130,4.33,2,348.45731445903095,254.5,LOW
130,4.33,3,252.7810317250881,236.0,LOW
131,4.37,1,,269.5,LOW
131,4.37,2,,255.5,LOW
131,4.37,3,,234.0,LOW
132,4.4,1,423.92717534972917,270.5,LOW
132,4.4,2,340.9142120827467,255.5,LOW
132,4.4,3,249.2774558599313,233.0,LOW
133,4.43,1,,272.5,LOW
133,4.43,2,,256.5,LOW
133,4.43,3,,233.0,LOW
134,4.47,1,,274.5,LOW
134,4.47,2,,258.5,LOW
134,4.47,3,,233.0,LOW
135,4.5,1,,277.5,LOW
135,4.5,2,,260.5,LOW
135,4.5,3,,234.0,LOW
136,4.53,1,,280.5,LOW
136,4.53,2,,262.5,LOW
136,4.53,3,,234.0,LOW
137,4.57,1,,282.5,LOW
137,4.57,2,,264.5,LOW
137,4.57,3,,235.0,LOW
138,4.6,1,,284.5,LOW
138,4.6,2,,266.5,LOW
138,4.6,3,,236.0,LOW
139,4.63,1,,287.5,LOW
139,4.63,2,,268.5,LOW
139,4.63,3,,237.0,LOW
140,4.67,1,,288.5,LOW
140,4.67,2,,269.5,LOW
140,4.67,3,,238.0,LOW
141,4.7,1,,290.5,LOW
141,4.7,2,,270.5,LOW
141,4.7,3,,238.0,LOW
142,4.73,1,,291.5,LOW
142,4.73,2,,272.5,LOW
142,4.73,3,,239.0,LOW
143,4.77,1,,292.5,LOW
143,4.77,2,,273.5,LOW
143,4.77,3,,240.0,LOW
144,4.8,1,,294.5,LOW
144,4.8,2,,275.5,LOW
144,4.8,3,,241.0,LOW
145,4.83,1,,295.5,LOW
145,4.83,2,,276.5,LOW
145,4.83,3,,243.0,LOW
146,4.87,1,,297.5,LOW
146,4.87,2,,277.5,LOW
146,4.87,3,,244.0,LOW
147,4.9,1,,298.5,LOW
147,4.9,2,,278.5,LOW
147,4.9,3,,245.0,LOW
148,4.93,1,,300.5,LOW
148,4.93,2,,280.5,LOW
148,4.93,3,,246.0,LOW
149,4.97,1,,301.5,LOW
149,4.97,2,,281.5,LOW
149,4.97,3,,248.0,LOW
150,5.0,1,,303.5,LOW
